"รหัส","รายการ","หมวด","หน่วย","ปริมาณ","ราคาต่อหน่วย","เป็นเงิน"
"2.8.1","งานจัดหาและติดตั้งเสาเข็ม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.8.1.1","งานตอกเสาเข็ม คอร. ขนาด 0.40x0.40 ม.","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ต้น","30","27898","836940"
"2.8.1.2","งานสกัดหัวเสาเข็ม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ต้น","30","415","12450"
"2.8.1.3","งานทดสอบการรับน้ำหนักของเสาเข็ม Dynamic Load Test","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ต้น","1","31969","31969"
"2.8.2","งานโครงสร้างคอนกรีตเสริมเหล็ก","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","1717458","1717458"
"2.8.3","งานจัดหาและติดตั้งวัสดุมุงหลังคาและส่วนประกอบอื่นๆ","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","406958","406958"
"","งานสถาปัตยกรรม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.8.4","งานจัดหาและติดตั้งหลังคา","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","233205","233205"
"2.8.5","งานจัดหาและติดตั้ง ฝ้าเพดาน / เพดาน / ผนัง","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","802162.5","802162.5"
"2.8.6","งานจัดหาและติดตั้งพร้อม ตกแต่งพื้น / ทางเดิน / บันได","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","481603.5","481603.5"
"2.8.7","งานจัดหาและติดตั้ง ประตู-หน้าต่าง","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","428272","428272"
"2.8.8","งานจัดหาและติดตั้ง ลูกกรงและราวบันได","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","24228","24228"
"2.8.9","งานจัดหาและติดตั้ง ปูนปั้นรอบอาคาร","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","107700","107700"
"2.9","กลุ่มงานที่ 6 อาคารหอสังเกตการณ์/ชมวิว และห้องรับรอง/อเนกประสงค์ (Zone G)","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"","งานโครงสร้างวิศวกรรม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.9.1","งานจัดหาและติดตั้งเสาเข็ม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.9.1.1","งานตอกเสาเข็ม คอร. ขนาด 0.40x0.40 ม.","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ต้น","58","27898","1618084"
"2.9.1.2","งานสกัดหัวเสาเข็ม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ต้น","58","415","24070"
"2.9.1.3","งานทดสอบการรับน้ำหนักของเสาเข็ม Dynamic Load Test","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ต้น","1","31969","31969"
"2.9.2","งานโครงสร้างคอนกรีตเสริมเหล็ก","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","2589928","2589928"
"2.9.3","งานจัดหาและติดตั้งโครงหลังคา","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","416044","416044"
"","งานสถาปัตยกรรม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.9.4","งานจัดหาและติดตั้งวัสดุมุงหลังคาและส่วนประกอบอื่นๆ","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","236794","236794"
"2.9.5","งานจัดหาและติดตั้ง ฝ้าเพดาน / เพดาน / ผนัง","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","616429.5","616429.5"
"2.9.6","งานจัดหาและติดตั้ง ตกแต่งพื้น / ทางเดิน / บันได","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","496137.5","496137.5"
"2.9.7","งานจัดหาและติดตั้ง ประตู-หน้าต่าง","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","281776","281776"
"2.9.8","งานจัดหาและติดตั้ง ลูกกรงและราวบันได","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","163066","163066"
"2.9.9","งานจัดหาและติดตั้งสุขภัณฑ์และอุปกรณ์ประกอบ ห้องน้ำ 3","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","82001.9","82001.9"
"2.1","กลุ่มที่ 7 จุดบริการนักท่องเที่ยว","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"","งานโครงสร้างวิศวกรรม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.10.1","งานจัดหาและติดตั้งเสาเข็ม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.10.1.1","งานตอกเสาเข็ม คอร. ขนาด 0.40x0.40 ม.","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ต้น","68","27898","1897064"
"2.10.1.2","งานสกัดหัวเสาเข็ม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ต้น","68","415","28220"
"2.10.1.3","งานทดสอบการรับน้ำหนักของเสาเข็ม Dynamic Load Test","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ต้น","1","31969","31969"
"2.10.2","งานโครงสร้างคอนกรีตเสริมเหล็ก","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","3159648","3159648"
"2.10.3","งานจัดหาและติดตั้งโครงหลังคา","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","2083138","2083138"
"","งานสถาปัตยกรรม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.10.4","งานจัดหาและติดตั้งวัสดุมุงหลังคาและส่วนประกอบอื่นๆ","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","1172978","1172978"
"2.10.5","งานจัดหาและติดตั้ง ตกแต่งพื้น / ทางเดิน / บันได","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","503130","503130"
"2.10.6","งานจัดหาและติดตั้งประตู-หน้าต่าง","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","67978","67978"
"2.10.7","งานจัดหาและติดตั้งป้ายสัญญลักษณ์","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","111723","111723"
"2.10.8","งานทาสีผิวจราจร","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ตร.ม.","20","250.25","5005"
"2.10.9","งานจัดหาและติดตั้งลูกกรงและราวบันได","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","269200","269200"
"2.11","กลุ่มที่ 8 ท่าเรือและอู่จอดเรือ","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"","งานโครงสร้างวิศวกรรม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.11.1","งานจัดหาและติดตั้งเสาเข็ม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.11.1.1","งานตอกเสาเข็ม คอร. ขนาด 0.40x0.40 ม.","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ต้น","43","27898","1199614"
"2.11.1.2","งานสกัดหัวเสาเข็ม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ต้น","43","415","17845"
"2.11.1.3","งานทดสอบการรับน้ำหนักของเสาเข็ม Dynamic Load Test","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ต้น","1","31969","31969"
"2.11.2","งานโครงสร้างคอนกรีตเสริมเหล็ก","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","1332710","1332710"
"2.11.3","งานจัดหาและติดตั้งโครงหลังคา","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","219295","219295"
"","งานสถาปัตยกรรม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.11.4","งานจัดหาและติดตั้งวัสดุมุงหลังคาและส่วนประกอบอื่นๆ","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","123950","123950"
"2.11.5","งานจัดหาและติดตั้งพร้อม ตกแต่งพื้น / ทางเดิน / บันได","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","24435","24435"
"2.11.6","งานจัดหาและติดตั้ง ลูกกรงและราวบันได","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","161520","161520"
"2.12","งานหลังคา SLAB ทางเชื่อมระหว่างกลุ่มอาคาร","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"","งานโครงสร้างวิศวกรรม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.12.1","งานโครงสร้างคอนกรีตเสริมเหล็ก","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","1176343","1176343"
"2.13","งานทางเดิน","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"","งานโครงสร้างวิศวกรรม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.13.1","งานจัดหาและติดตั้งเสาเข็ม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.13.1.1","งานตอกเสาเข็ม คอร. ขนาด 0.40x0.40 ม.","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ต้น","230","27898","6416540"
"2.13.1.2","งานสกัดหัวเสาเข็ม","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ต้น","230","415","95450"
"2.13.1.3","งานทดสอบการรับน้ำหนักของเสาเข็ม Dynamic Load Test","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ต้น","1","31969","31969"
"2.13.2","งานโครงสร้างคอนกรีตเสริมเหล็ก","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","6385701","6385701"
"2.13.3","งานบันไดพร้อมทางลาดเชื่อมระหว่างสะพานทางเดินของศูนย์สำรวจฯกับสะพานทางเดิน","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","14728","14728"
"","ของสำนักงานเขตบางขุนเทียน","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.14","งานโป๊ะเรือ","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.14.1","งานจัดหาและติดตั้งแพเหล็ก","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","576562","576562"
"2.14.2","งานจัดหาและติดตั้งโครงเสายึดแพเหล็ก","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","2421335","2421335"
"2.14.3","งานจัดหาและติดตั้งสะพานเหล็กเชื่อมศาลาท่าน้ำกับโป๊ะเรือ","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","822554","822554"
"2.15","งานวิศวกรรมระบบไฟฟ้า","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.15.1","งานจัดหาและติดตั้งระบบไฟแรงสูง HIGHT VOLTAGE","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.15.1.1","งานปักเสาพาดสายขยายเขตไฟฟ้า หลังจากเชื่อมต่อมิเตอร์ไฟฟ้า","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","กม.","3.5","1850830","6477905"
"2.15.1.2","งานจัดหาและติดตั้งหม้อแปลงไฟฟ้า 250kVA 22kV/400-230V 3P 4W 50Hz","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ชุด","1","437469","437469"
"2.15.1.3","งานจัดหาและติดตั้งฟิวส์ตัดตอนแรงสูง 22 kV/ 400-230V 3P 4W 50 Hz","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ชุด","1","342684","342684"
"2.15.1.4","งานจัดหาและติดตั้งนั่งร้านสำหรับติดตั้งหม้อแปลงและมิเตอร์ไฟฟ้า พร้อมอุปกรณ์","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ชุด","1","218734","218734"
"2.15.1.5","งานจัดหาและติดตั้งเครื่องกำเนิดไฟฟ้า ขนาด 500 KVA","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","ชุด","1","4150347","4150347"
"2.15.2","งานจัดหาและติดตั้งตู้ควบคุมระบบไฟฟ้าแรงต่ำ 8 กลุ่มอาคาร","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","รายการ","1","204264","204264"
"2.15.3","งานจัดหาและติดตั้งไฟฟ้าแสงสว่าง","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","592263","592263"
"2.15.4","งานจัดหาและติดตั้งแผงสวิตซ์ไฟฟ้า เต้ารับและเต้าเสียบและอุปกรณ์ไฟฟ้าอื่น ๆ","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","รายการ","1","70638.35","70638.35"
"2.15.5","งานจัดหาและติดตั้งท่อร้อยสายไฟและเดินสายไฟฟ้า 8 กลุ่มอาคาร","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","รายการ","1","1848811","1848811"
"2.15.6","งานจัดหาและติดตั้งระบบล่อฟ้าและลงดิน 8 กลุ่มอาคาร","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","รายการ","1","138868","138868"
"2.15.7","งานจัดหาและติดตั้งพัดลมระบายอากาศ","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","แห่ง","1","1626","1626"
"2.16","งานระบบสุขาภิบาล","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","","","",""
"2.16.1","งานจัดหาและติดตั้งระบบประปา 8 กลุ่มอาคาร","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","รายการ","1","2524184.1","2524184.1"
"2.16.2","งานจัดหาและติดตั้งระบบบำบัดน้ำเสีย 8 กลุ่มอาคาร","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","รายการ","1","738162.5","738162.5"
"2.16.3","งานจัดหาและติดตั้งระบบระบายน้ำฝน","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","รายการ","1","25014","25014"
"2.16.4","งานจัดหาและติดตั้งระบบดับเพลิง","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","รายการ","1","4357078","4357078"
"2.16.5","งานจัดหาและติดตั้งท่อน้ำดับเพลิง","ก่อสร้างศูนย์สำรวจและเฝ้าระวังชายฝั่ง จุดชมวิว และท่าเรือ จำนวน 1 แห่ง","รายการ","1","944709","944709"
"3","งานจัดหาและติดตั้งครุภัณฑ์","งานจัดหาและติดตั้งครุภัณฑ์","","","",""
"3.1","งานจัดหาและติดตั้งระบบควบคุมทางไกลเพื่อตรวจวัดพฤติกรรมชายฝั่งทะเล","งานจัดหาและติดตั้งครุภัณฑ์","รายการ","1","9120330","9120330"
"3.2","งานจัดหาและติดตั้งเครื่องปรับอากาศ แบบแยกส่วน (ราคารวมค่าติดตั้ง)","งานจัดหาและติดตั้งครุภัณฑ์","รายการ","1","546517","546517"
"3.3","งานจัดหาและติดตั้งครุภัณฑ์สำนักงาน กลุ่มอาคาร 1 ถึง 8","งานจัดหาและติดตั้งครุภัณฑ์","รายการ","1","5049319","5049319"
"4","ค่าใช้จ่ายพิเศษตามข้อกำหนดเฉพาะงานและค่าใช้จ่ายอื่นที่จำเป็นต้องมี (ตลอดการก่อสร้างจนกว่างานจะแล้วเสร็จ)","ค่าใช้จ่ายพิเศษตามข้อกำหนดเฉพาะงานและค่าใช้จ่ายอื่นที่จำเป็นต้องมี (ตลอดการก่อสร้างจนกว่างานจะแล้วเสร็จ)","รายการ","1","95927903.7","95927903.7"
